pid,interventionName,perceived_diff,physio_diff
1,나 잘했지?,18.181818181818183,-13.868131391654432
1,나를 지켜줘,18.75,14.903640607446619
1,당 충전하기,20.454545454545457,-8.674993838694544
1,스트레칭,30.0,94.99715614033862
1,지금 듣고 싶은 말,16.666666666666664,73.35037322543553
1,"지금, 나 때문일까?",10.714285714285714,10.56751868472051
1,호흡하기,22.5,-1.0490634948382482
1,화 먹는 요정,9.615384615384617,17.524206315018738
2,나 잘했지?,17.857142857142858,4.662768040804523
2,나를 지켜줘,11.363636363636363,5.3391711555252
2,당 충전하기,12.5,-10.731879971212372
2,스트레칭,4.166666666666666,12.688661195370935
2,지금 듣고 싶은 말,-0.0,-2.13335874414442
2,"지금, 나 때문일까?",21.875,-23.344837220263383
2,호흡하기,14.285714285714285,39.05895394009453
2,화 먹는 요정,25.0,-9.063591426455758
3,나 잘했지?,20.0,-19.994962926904243
3,나를 지켜줘,6.25,-32.43939012490306
3,당 충전하기,11.11111111111111,36.014010706180564
3,스트레칭,20.833333333333336,-28.218931900879834
3,지금 듣고 싶은 말,7.142857142857142,27.89275159495983
3,"지금, 나 때문일까?",-30.0,-1.9994264996937812
3,호흡하기,12.5,11.711656947928166
3,화 먹는 요정,15.0,64.1931464415018
4,나 잘했지?,17.5,88.89380169650589
4,나를 지켜줘,21.875,-9.332962429724425
4,당 충전하기,29.166666666666668,30.71764391693252
4,스트레칭,40.909090909090914,11.417047012230089
4,지금 듣고 싶은 말,29.166666666666668,75.53582730382115
4,"지금, 나 때문일까?",11.363636363636363,20.530343839307633
4,호흡하기,27.77777777777778,29.50185971837975
4,화 먹는 요정,21.875,32.12914451374033
6,나 잘했지?,7.5,-16.631414370992477
6,나를 지켜줘,23.076923076923077,-4.166906411452934
6,당 충전하기,10.416666666666668,-9.919845438432437
6,스트레칭,8.333333333333332,0.22229781731918216
6,지금 듣고 싶은 말,7.5,-13.856425474674008
6,"지금, 나 때문일까?",12.5,-4.106244687189951
6,호흡하기,25.0,11.9181971817436
6,화 먹는 요정,9.615384615384617,-4.7812117808654655
7,나 잘했지?,5.0,-10.564534755234991
7,나를 지켜줘,30.0,-11.744757409667008
7,당 충전하기,18.75,9.557231292770094
7,스트레칭,3.125,3.0846028682228477
7,지금 듣고 싶은 말,29.166666666666668,-0.6147672848241346
7,"지금, 나 때문일까?",20.833333333333336,-2.3768063502805616
7,호흡하기,-5.0,1.1225987403899633
7,화 먹는 요정,21.428571428571427,38.89013079805607
8,나 잘했지?,18.75,-87.17464575823382
8,나를 지켜줘,27.27272727272727,-4.601223914155237
8,당 충전하기,13.88888888888889,30.767725873500858
8,스트레칭,34.375,18.491995422284127
8,지금 듣고 싶은 말,15.0,8.539023149800569
8,"지금, 나 때문일까?",11.363636363636363,-5.798663435037947
8,호흡하기,25.0,-7.9979064400413735
8,화 먹는 요정,16.666666666666664,23.351846643990484
9,나 잘했지?,-15.0,-62.08188741854509
9,나를 지켜줘,-25.0,-2.27422392733887
9,당 충전하기,-25.0,29.199960541320795
9,스트레칭,-32.142857142857146,3.0310585793517717
9,지금 듣고 싶은 말,5.555555555555555,-41.67869240294495
9,"지금, 나 때문일까?",-10.0,-3.4305713028171003
9,호흡하기,-62.5,-6.883812923159463
9,화 먹는 요정,-36.36363636363637,2.9546963374324973
10,나 잘했지?,3.571428571428571,2.0926608731310146
10,나를 지켜줘,6.25,-8.844395152971776
10,당 충전하기,21.875,25.84211296151338
10,스트레칭,25.0,30.90936730692226
10,지금 듣고 싶은 말,5.0,-9.806506164715119
10,"지금, 나 때문일까?",11.11111111111111,9.728772701685482
10,호흡하기,27.77777777777778,23.771112507988885
10,화 먹는 요정,-6.25,-17.96557330834557
11,나 잘했지?,47.5,3.9783214542084604
11,나를 지켜줘,44.230769230769226,-10.166802445369862
11,당 충전하기,63.63636363636363,28.253523470258312
11,스트레칭,60.0,92.66988409317975
11,지금 듣고 싶은 말,45.0,-29.97113198059276
11,"지금, 나 때문일까?",42.5,-26.58108276097008
11,호흡하기,55.00000000000001,-18.378715740096126
11,화 먹는 요정,60.0,-7.159167810207774
12,나 잘했지?,28.125,0.8167803778192977
12,나를 지켜줘,34.375,9.788754624979628
12,당 충전하기,29.166666666666668,-0.021618488016341943
12,스트레칭,29.166666666666668,5.460417018308381
12,지금 듣고 싶은 말,32.5,-14.515199444464145
12,"지금, 나 때문일까?",16.666666666666664,4.34302880449432
12,호흡하기,31.818181818181817,8.020153614613346
12,화 먹는 요정,28.125,28.364990554812504
13,나 잘했지?,13.88888888888889,30.693453269025074
13,나를 지켜줘,18.75,24.95902787558972
13,당 충전하기,5.555555555555555,37.38239711618358
13,스트레칭,-0.0,12.661283111676186
13,지금 듣고 싶은 말,5.769230769230769,27.687016294752826
13,"지금, 나 때문일까?",-11.363636363636363,30.132137652865588
13,호흡하기,12.5,-7.9353398443983165
13,화 먹는 요정,-2.083333333333333,18.662878908524323
14,나 잘했지?,12.5,-9.89334957460481
14,나를 지켜줘,-0.0,25.256210827285074
14,당 충전하기,9.375,-3.0356818010331854
14,스트레칭,16.666666666666664,2.754605990163519
14,지금 듣고 싶은 말,-8.333333333333332,15.257805868563997
14,"지금, 나 때문일까?",6.8181818181818175,-9.575768233447238
14,호흡하기,18.75,9.959760797072446
14,화 먹는 요정,15.625,12.379228856652308
15,나 잘했지?,25.0,77.58707380280504
15,나를 지켜줘,28.57142857142857,36.26206558220968
15,당 충전하기,33.33333333333333,23.918985693782552
15,스트레칭,-0.0,-56.0315206268903
