pid,interventionName,perceived_diff,physio_diff
17,지금 듣고 싶은 말,-12.5,47.351319185749155
17,"지금, 나 때문일까?",-13.88888888888889,37.652907348107775
17,호흡하기,-16.666666666666664,10.563300191633857
17,화 먹는 요정,-8.333333333333332,25.51737829718598
18,나 잘했지?,3.571428571428571,16.26138750687001
18,나를 지켜줘,9.375,33.46172577758211
18,당 충전하기,2.7777777777777777,2.143180903137847
18,스트레칭,-0.0,9.325124852928054
18,지금 듣고 싶은 말,-7.142857142857142,55.63251480431577
18,"지금, 나 때문일까?",-29.166666666666668,-21.721161973810524
18,호흡하기,10.0,-13.283821069110449
18,화 먹는 요정,57.14285714285714,39.67012030210128
19,나 잘했지?,15.909090909090908,27.47486300987372
19,나를 지켜줘,21.428571428571427,49.41238258286726
19,당 충전하기,8.333333333333332,-4.117709400183368
19,스트레칭,21.428571428571427,40.794297789916826
19,지금 듣고 싶은 말,7.5,6.117367395295373
19,"지금, 나 때문일까?",4.166666666666666,40.92921973901314
19,호흡하기,10.0,24.702637190168463
19,화 먹는 요정,10.0,40.8321054151608
20,나 잘했지?,21.875,10.966385834042155
20,나를 지켜줘,30.555555555555557,25.772043654334382
20,당 충전하기,15.625,-34.82684611832283
20,스트레칭,16.666666666666664,22.83143412101402
20,지금 듣고 싶은 말,25.0,-4.839113389085012
20,"지금, 나 때문일까?",14.285714285714285,17.44221280392625
20,호흡하기,7.142857142857142,-5.785467313970968
20,화 먹는 요정,20.833333333333336,-22.931751770755756
